"OPERATIVO   ""SALVANDO  VIDAS""",,,,,,,
Conductores retenidos en puntos de control fijos y  volantas,,,,,,,
del 15 de noviembre 2013 al 28 de febrero 2019,,,,,,,
MES,Pruebas aplicadas,Conductores retenidos,Sanción económica,Total pruebas positivas,"%
positivas/a plicadas",Días  con Operativo,Promedio diario positivas
Noviembre  (15-30),"6,659",142,59,201,3.02%,10,20.10
Diciembre,"12,332",220,77,297,2.41%,16,18.56
Enero  2014,"16,944",258,110,368,2.17%,19,19.37
Febrero,"15,850",343,141,484,3.05%,16,30.25
Marzo,"16,123",380,214,594,3.68%,17,34.94
Abril,"15,714",284,145,429,2.73%,17,25.24
Mayo,"14,774",287,183,470,3.18%,18,26.11
Junio,"12,704",288,151,439,3.46%,16,27.44
Julio,"15,343",326,168,494,3.22%,20,24.70
Agosto,"18,762",401,230,631,3.36%,18,35.06
Septiembre,"11,699",264,162,426,3.64%,16,26.63
Octubre,"16,407",398,224,622,3.79%,19,32.74
Noviembre,"16,281",331,232,563,3.46%,16,35.19
Diciembre,"19,965",351,194,545,2.73%,16,34.06
2015  Enero,"21,567",402,231,633,2.94%,19,33.32
Febrero,"15,083",303,151,454,3.01%,16,28.38
Marzo,"16,620",334,196,530,3.19%,17,31.18
Abril,"19,087",397,256,653,3.42%,19,34.37
Mayo,"17,640",349,230,579,3.28%,18,32.17
Junio,"17,556",400,257,657,3.74%,15,43.80
Julio,"21,242",476,314,790,3.72%,19,41.58
Agosto,"19,570",424,303,727,3.71%,17,42.76
Septiembre,"21,064",477,297,774,3.67%,18,43.00
Octubre,"21,322",497,254,751,3.52%,18,41.72
Noviembre,"21,671",357,223,580,2.68%,16,36.25
Diciembre,"43,666",383,296,679,1.55%,27,25.15
2016  Enero,"46,442",300,198,498,1.07%,31,16.06
Febrero,"36,626",271,204,475,1.30%,29,16.38
Marzo,"22,999",302,240,542,2.36%,31,17.48
Abril,"25,739",355,226,581,2.26%,30,19.37
Mayo,"18,197",324,198,522,2.87%,31,16.84
Junio,"17,296",222,174,396,2.29%,30,13.20
Julio,"19,156",285,186,471,2.46%,31,15.19
Agosto,"25,746",448,255,703,2.73%,31,22.68
Septiembre,"31,385",501,328,829,2.64%,30,27.63
Octubre,"31,182",506,274,780,2.50%,31,25.16
Noviembre,"30,572",412,280,692,2.26%,30,23.07
Diciembre,"63,943",610,397,"1,007",1.57%,31,32.48
2017  Enero,"53,312",438,249,687,1.29%,31,22.16
Febrero,"41,110",370,241,611,1.49%,28,21.82
Marzo,"39,320",392,255,647,1.65%,31,20.87
Abril,"35,619",356,199,555,1.56%,30,18.50
Mayo,"36,959",372,228,600,1.62%,31,19.35
Junio,"38,384",388,234,622,1.62%,30,20.73
Julio,"34,879",323,204,527,1.51%,31,17.00
Agosto,"43,992",405,283,688,1.56%,31,22.19
Septiembre,"35,725",343,208,551,1.54%,30,18.37
Octubre,"40,166",384,254,638,1.59%,31,20.58
Noviembre,"39,380",325,198,523,1.33%,30,17.43
Diciembre,"54,153",249,171,420,0.78%,31,13.55
Enero  2018,"46,770",305,211,516,1.10%,31,16.65
Febrero,"35,659",362,193,555,1.56%,28,19.82
Marzo,"37,769",480,245,725,1.92%,31,23.39
Abril,"39,912",464,260,724,1.81%,30,24.13
Mayo,"39,019",481,295,776,1.99%,30,25.87
Junio,"36,684",480,298,778,2.12%,30,25.93
Julio,"34,049",498,360,858,2.52%,30,28.60
Agosto,"35,848",463,343,806,2.25%,31,26.00
Septiembre,"31,885",344,295,639,2.00%,30,21.30
Octubre,"31,063",427,299,726,2.34%,31,23.42
Noviembre,"27,560",405,227,632,2.29%,30,21.07
Diciembre,"148,410",864,513,"1,377",0.93%,31,44.42
Enero  2019,"89,032",407,216,623,0.70%,15,41.53
Febrero,"151,658",907,477,"1,384",0.91%,28,49.43
Acumulado,"2,113,245","24,840","15,214","40,054",1.90%,"1,590",25.19
Fuente: Ce.Co.Vi.,,,,,,,
